,first_name,last_name,address,city,county,state,phone1,phone2,email,qtr1,qtr2,qtr3,qtr4,Median
0,James,Butt,6649 N Blue Gum St,New Orleans,Orleans,LA,504-621-8927,504-845-1427,jbutt@gmail.com,83,78,88,96,85.5
1,Josephine,Darakjy,4 B Blue Ridge Blvd,Brighton,Livingston,MI,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org,96,85,75,77,81.0
2,Art,Venere,8 W Cerritos Ave #54,Bridgeport,Gloucester,NJ,856-636-8749,856-264-4130,art@venere.org,84,96,84,74,84.0
3,Lenna,Paprocki,639 Main St,Anchorage,Anchorage,AK,907-385-4412,907-921-2010,lpaprocki@hotmail.com,97,86,79,79,82.5
4,Donette,Foller,34 Center St,Hamilton,Butler,OH,513-570-1893,513-549-4561,donette.foller@cox.net,84,90,98,75,87.0
5,Simona,Morasca,3 Mcauley Dr,Ashland,Ashland,OH,419-503-2484,419-800-6759,simona@morasca.com,91,83,92,74,87.0
6,Mitsue,Tollner,7 Eads St,Chicago,Cook,IL,773-573-6914,773-924-8565,mitsue_tollner@yahoo.com,85,89,74,92,87.0
7,Leota,Dilliard,7 W Jackson Blvd,San Jose,Santa Clara,CA,408-752-3500,408-813-1105,leota@hotmail.com,91,93,93,90,92.0
8,Sage,Wieser,5 Boston Ave #88,Sioux Falls,Minnehaha,SD,605-414-2147,605-794-4895,sage_wieser@cox.net,91,75,81,94,86.0
9,Kris,Marrier,228 Runamuck Pl #2808,Baltimore,Baltimore City,MD,410-655-8723,410-804-4694,kris@gmail.com,89,94,73,75,82.0
10,Minna,Amigon,2371 Jerrold Ave,Kulpsville,Montgomery,PA,215-874-1229,215-422-8694,minna_amigon@yahoo.com,75,79,97,94,86.5
11,Abel,Maclead,37275 St  Rt 17m M,Middle Island,Suffolk,NY,631-335-3414,631-677-3675,amaclead@gmail.com,81,84,80,76,80.5
12,Kiley,Caldarera,25 E 75th St #69,Los Angeles,Los Angeles,CA,310-498-5651,310-254-3084,kiley.caldarera@aol.com,74,77,86,85,81.0
13,Graciela,Ruta,98 Connecticut Ave Nw,Chagrin Falls,Geauga,OH,440-780-8425,440-579-7763,gruta@cox.net,76,96,73,90,83.0
